DataProvider, AccessionNumber, SpecimenType, TypeStatus, Exsiccata, Flags, Notes, SpecimenLinks, DuplicatesAt, OtherCatalogNumbers, AssignedReferenceNumbers, TaxonName_C1, Determiner_C1, DeterminersRefNo_C1, IdentificationType_C1, IdentificationDateISO_C1, IdentifiersNote_C1, PreferredName_C1, VernacularName_C1, PartAffected_C1, Substrate_C1, AssociationType_C1, Association_C1, PreviousIdentifications_C1, TaxonName_C2, Determiner_C2, DeterminersRefNo_C2, IdentificationType_C2, IdentificationDateISO_C2, IdentifiersNote_C2, PreferredName_C2, VernacularName_C2, PartAffected_C2, Substrate_C2, AssociationType_C2, Association_C2, PreviousIdentifications_C2, OtherComponents, Contributor, ContributorRefNo, Isolator, IsolationDate, ReceivedFrom, ReceivedDate, SpecimenEvents, Country_CE1, VerbatimCountry_CE1, LandDistrict_CE1, NZAreaCode_CE1, EcologicalDistrict_CE1, Locality_CE1, Collector_CE1, CollectionDate_CE1, CollectionDateISO_CE1, Habitat_CE1, MicroHabitat_CE1, Altitude_CE1, LocalHeight_CE1, GeoReference_CE1, DecimalLatitude_CE1, DecimalLongitude_CE1, Abundance_CE1, Method_CE1, Keywords_CE1, Context_CE1, Country_CE2, VerbatimCountry_CE2, LandDistrict_CE2, NZAreaCode_CE2, EcologicalDistrict_CE2, Locality_CE2, Collector_CE2, CollectionDate_CE2, CollectionDateISO_CE2, Habitat_CE2, MicroHabitat_CE2, Altitude_CE2, LocalHeight_CE2, GeoReference_CE2, DecimalLatitude_CE2, DecimalLongitude_CE2, Abundance_CE2, Method_CE2, Keywords_CE2, Context_CE2, OtherCollectionEvents, SpecimenId, DataAccessLevel, IsDeaccessioned
"International Collection Of Micro-organisms","ICMP 22017","Fungal Culture","","","MPI: Restricted Culture; Price Category: Category 1","Characterised as: Sequencing of ITS and LSU gene.; Other Details: This is a new record for New Zealand. The organism has been reported from Australia as a turf pathogen and as a root growth promoter from USA.","","","","","Phialocephala bamuru P.T.W. Wong & C. Dong 2015","B. Weir","","Determination","2016-03-20","","Phialocephala bamuru P.T.W. Wong & C. Dong","","","","","","",,,,,,,,,,,,,,"","M. Toome","T16-01152",,,,,"","New Zealand","","","","","Auckland","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","B2352313-6EA9-424B-97A5-2A6754E164FC","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 3588","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 3588","Verticillium nigrescens Pethybr.","","","Determination","","","Gibellulopsis nigrescens (Pethybr.) Zare, W. Gams & Summerb. 2007","","","","isolated from","isolated from Pastinaca sativa L.","TaxonName: Verticillium nigrescens","Pastinaca sativa L.","","","Determination","","","Pastinaca sativa L.","parsnip","root","","","","","","G.F. Laundon","3269","","1969-04-01",,,"Ex, actioned by A.F. Rainbow on 1969-04-01","New Zealand","New Zealand","","Wellington","","Wellington","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","194ED4F5-A335-423D-AD21-7CF733B9FE94","Public","",
"International Collection Of Micro-organisms","ICMP 16039","Bacterial Culture","","","MPI: Restricted Culture; Price Category: Category 2","Other Details: commercial inoculant world wide - good acid soil tloerance; Characterised as: effective on many species; Growth Conditions: YMA or R2A 26 C 3 days","","","CB 3060; TAL1145; CIAT 1967","","Rhizobium tropici Martínez-Romero et al. 1991","B.S. Weir","","Determination","2013-07-08","","Rhizobium tropici Martínez-Romero et al.","","","","isolated from","isolated from Leucaena diversifolia","TaxonName: Rhizobium Frank 1889; TaxonName: Rhizobium sp.","Leucaena diversifolia","","","Determination","","","Leucaena diversifolia Benth.","","root nodule","","","","","","B. Weir","BSW109",,,,,"Via, actioned by J. Leary on ","Australia","Australia","","","","Queensland","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","B83C0302-6C19-461D-B555-B44A76BFD4E3","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 19629","Fungal Culture","","","Price Category: Category 1","Characterised as: Identified by morphology and molecular sequencing","","","","","Fusarium solani (Mart.) Sacc. 1881","R. Thangavel","T12-03957C","Determination","2012-10-17","","Fusarium solani (Mart.) Sacc.","","","","isolated from","isolated from Zamioculcas sp.","","Zamioculcas sp.","","","Determination","","","","","Roots and soil","","","","","","R. Thangavel","T12-03957C","R. Thangavel","2012-09-25",,,"","New Zealand","New Zealand","","Coromandel","","Whitianga","B. Gregory","12/9/2012","2012-09-12","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","DD0C052B-10C2-4979-9184-E47825068622","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 17063","Fungal Culture","","","Price Category: Category 1","Characterised as: validated by genetic sequence by ITS and will is in GenBank (Ho)","","","","","Roesleria subterranea (Weinm.) Redhead","","","Determination","","","Roesleria subterranea (Weinm.) Redhead 1984","","","","isolated from","isolated from Vitis riparia x V. rupestris","TaxonName: Roesleria subterranea","Vitis riparia x V. rupestris","","","Determination","","","Vitis riparia Michx. × V. rupestris L.","grape root tock","root rot, reddening leaves, weak & chlorotic shoots, low or no yield","","","","","","W. Ho","IDC 09-2007-1189","","2007-05-01",,,"","New Zealand","New Zealand","","Auckland","","Karaka","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","7D7E438C-9852-4C9E-8D5C-26BA401E7B92","Public","",
"International Collection Of Micro-organisms","ICMP 16911","Fungal Culture","","","Price Category: Category 1","","","","","","Nectria tawa Dingley","","","Determination","","","Neonectria obtusisporum (Cooke & Harkn.) Rossman, L. Lombard & Crous 2014","","","","isolated from","isolated from Quercus robur","TaxonName: Nectria tawa","Quercus robur","","","Determination","","","Quercus robur L.","","roots","","","","","","MAF, IDC","09/06/6384","","2006-12-01",,,"Via, actioned by J. Pay on 2006-12-01; Ex, actioned by R. Beever on 2006-12-01","New Zealand","New Zealand","","Auckland","","[Unknown]","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","1A3E0C6D-8977-4E63-9067-4B8511F9A6C0","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 17088","Chromist Culture","","","Price Category: Category 1","","","","","","Pythium Pringsh.","","","Determination","","","Pythium Pringsh. 1858","","","","isolated from","isolated from Vitis riparia x V. rupestris","TaxonName: Pythium sp.","Vitis riparia x V. rupestris","","","Determination","","","Vitis riparia Michx. × V. rupestris L.","","root","","","","","","C.F. Hill","09/2007/1200","","2007-05-01",,,"","New Zealand","New Zealand","","Auckland","","Karaka","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","965C974B-9300-49CF-8CC0-5BB4A30C3FE1","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 7047","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 7047","Fusarium solani f.sp. pisi (F.R. Jones) W.C. Snyder & H.N. Hansen","","","Determination","","","Fusarium solani (Mart.) Sacc.","","","","isolated from","isolated from Pisum sativum L.","TaxonName: Fusarium solani (Martius) Saccardo f. sp. pisi","Pisum sativum L.","","","Determination","","","Pisum sativum L.","garden pea","root","","","","","","M.C.T. Trought","","","1974-12-01",,,"Via, actioned by S.A. Menzies on 1974-12-01","New Zealand","New Zealand","","Hawkes Bay","","Hawkes Bay","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","BB5F7700-905B-4320-9199-DDB529385E84","Public","",
"International Collection Of Micro-organisms","ICMP 17314","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocarpon didymum (Harting) Wollenw.","W. Ho","","Determination","","","Cylindrocarpon didymum (Harting) Wollenw.","","","","isolated from","isolated from Vitis riparia","TaxonName: Cylindrocarpon didymum","Vitis riparia","","","Determination","","","Vitis riparia Michx.","grape","roots","","","","","","W. Ho","IDC 09-2007-1200C","","2007-04-01",,,"","New Zealand","New Zealand","","Auckland","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","B992971B-E13D-4E8E-BE05-125041B03AD8","Public","",
"International Collection Of Micro-organisms","ICMP 17315","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocladium pacificum J.C. Kang, Crous & C.L. Schoch","W. Ho","","Determination","","","Calonectria pacifica (J.C. Kang, Crous & C.L. Schoch) L. Lombard, M.J. Wingf. & Crous","","","","isolated from","isolated from Vitis riparia","TaxonName: Cylindrocladium pacificum","Vitis riparia","","","Determination","","","Vitis riparia Michx.","grape","roots","","","","","","W. Ho","IDC 09-2007-1200D","","2007-04-01",,,"","New Zealand","New Zealand","","Auckland","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","E17A0A10-7D44-4150-A159-9A589059C14F","Public","",
"International Collection Of Micro-organisms","ICMP 17311","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocladiella Boesew.","","","Determination","","","Cylindrocladiella Boesew.","","","","isolated from","isolated from Vitis riparia","TaxonName: Cylindrocladiella sp.","Vitis riparia","","","Determination","","","Vitis riparia Michx.","grape","roots","","","","","","W. Ho","IDC 09-2007-1197","","2007-04-01",,,"","New Zealand","New Zealand","","Auckland","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","35AD9745-9089-4808-9BD9-2B755D282057","Public","",
"International Collection Of Micro-organisms","ICMP 17313","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocladiella Boesew.","","","Determination","","","Cylindrocladiella Boesew.","","","","isolated from","isolated from Vitis riparia","TaxonName: Cylindrocladiella sp.","Vitis riparia","","","Determination","","","Vitis riparia Michx.","grape","roots","","","","","","W. Ho","IDC 09-2007-1200B","","2007-04-01",,,"","New Zealand","New Zealand","","Auckland","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","9F40382B-4DDD-476C-9EA7-3ACDCDB57667","Public","",
"International Collection Of Micro-organisms","ICMP 17312","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocladiella Boesew.","","","Determination","","","Cylindrocladiella Boesew.","","","","isolated from","isolated from Vitis riparia","TaxonName: Cylindrocladiella sp.","Vitis riparia","","","Determination","","","Vitis riparia Michx.","grape","roots","","","","","","W. Ho","IDC 09-2007-1200A","","2007-04-01",,,"","New Zealand","New Zealand","","Auckland","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","418D480A-6A28-42C6-B63A-3B57DEA5359A","Public","",
"International Collection Of Micro-organisms","ICMP 17310","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocladiella Boesew.","","","Determination","","","Cylindrocladiella Boesew.","","","","isolated from","isolated from Vitis riparia","TaxonName: Cylindrocladiella sp.","Vitis riparia","","","Determination","","","Vitis riparia Michx.","grape","roots","","","","","","W. Ho","IDC09-2007-1194","","2007-04-01",,,"","New Zealand","New Zealand","","Auckland","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","B44F0A77-8FDD-4D77-86D0-A15A824C3B4E","Public","",
"International Collection Of Micro-organisms","ICMP 17329","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocarpon obtusisporum (Cooke & Harkn.) Wollenw.","W. Ho","","Determination","","","Neonectria obtusisporum (Cooke & Harkn.) Rossman, L. Lombard & Crous 2014","","","","isolated from","isolated from Vitis riparia","TaxonName: Cylindrocarpon obtusisporum","Vitis riparia","","","Determination","","","Vitis riparia Michx.","grape","roots","","","","","","W. Ho","IDC09-2007-1200E","","2007-04-01",,,"","New Zealand","New Zealand","","Auckland","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","06AFB5AD-2B10-43B9-981B-701F242D0611","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 17083","Chromist Culture","","","Price Category: Category 1","Other Details: tree has leader dieback (Hill); Characterised as: identified by PCR (Braithwaite)","","","","","Phytophthora cinnamomi Rands","C.F. Hill","","Determination","","","Phytophthora cinnamomi Rands 1922","","","Soil mass around roots of Araucaria heterophylla - norfolk pine","","","TaxonName: Phytophthora cinnamomi",,,,,,,,,,,,,,"","C.F. Hill","09/2007/2379","","2007-09-01",,,"","New Zealand","New Zealand","","Auckland","","The Strand, Takapuna","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","0758DD52-687B-4BB8-9BBC-1C1688C8DAD8","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 1088","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 1088","Dendryphion nanum (Nees) S. Hughes","","","Determination","","","Dendryphion nanum (Nees) S. Hughes","","","","isolated from","isolated from Passiflora edulis Sims","TaxonName: Dendryphion nanum","Passiflora edulis Sims","","","Determination","","","Passiflora edulis Sims","passionfruit","root","","","","","","F.J. Morton","H165","","1962-10-01",,,"Via, actioned by S. Davison on 1962-10-01","","","","","","[Unknown]","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","F8B5D926-B17B-43B7-B4AF-DF2B3AD969AE","Public","",
"International Collection Of Micro-organisms","ICMP 1431","Bacterial Culture","","","Grade: b; Price Category: Category 1","Characterised as: Biovar 1; Growth Conditions: Kings B or YNA @ 26 C for 3 days","","","","PDDCC: PDDCC 1431","Agrobacterium tumefaciens (Smith & Townsend 1907) Conn 1942","R.N. Crowhurst","","Determination","","","Rhizobium radiobacter (Beijerinck & van Delden 1902) Young et al. 2001","","","","isolated from","isolated from Vitis vinifera L.","TaxonName: Agrobacterium tumefaciens","Vitis vinifera L.","","","Determination","","","Vitis vinifera L.","grape","root","","","","","","D.W. Dye","A7","","1963-01-01",,,"","New Zealand","New Zealand","","Auckland","","Avondale","D.W. Dye","1963","1963-00-00","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","75F50B0E-8E48-443A-9AD1-87346BA2917F","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 7309","Chromist Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 7309","Pythium debaryanum auct. non R. Hesse","","","Determination","","","Pythium debaryanum sensu auct. non R. Hesse","","","","isolated from","isolated from Phaseolus vulgaris L.","TaxonName: Pythium debaryanum","Phaseolus vulgaris L.","","","Determination","","","Phaseolus vulgaris L.","bean","root","","","","","","G.I. Robertson","T4756","","1973-11-01",,,"","New Zealand","New Zealand","","Wellington","","Otaki","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","281AD5C7-FF87-4AA8-913A-7577F22316B6","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 1295","Bacterial Culture","","","MPI: Restricted Culture; Grade: b; Price Category: Category 2","Characterised as: Nod +ve; fix +ve (Trifolium spp.)","78072953-B472-4C07-9AF5-55557BBB10BB (): , ICMP 1295ICMP 2118","","","PDDCC: PDDCC 1295","Rhizobium leguminosarum biovar. trifolii (Frank 1879) Frank 1889","","","Determination","","","Rhizobium leguminosarum biovar trifolii (Frank 1879) Frank","","","","isolated from","isolated from Trifolium subterraneum L.","TaxonName: Rhizobium trifolii","Trifolium subterraneum L.","","","Determination","","","Trifolium subterraneum L.","subterranean clover","root nodule","","","","","","A. Hastings","","","1953-01-01",,,"Via, actioned by J.M. Vincent on 1953-01-01; Ex, actioned by D.F. Paton on 1953-01-01","Australia","Australia (Tasmania)","","","","Tasmania","","1953","1953-00-00","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","BB0BB967-DA8F-4A75-8796-5328089B96B0","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 7189","Bacterial Culture","","","MPI: Restricted Culture; Grade: a; Price Category: Category 2","Strain Data: tumourigenic strain; Other Details: on plants in quarantine, from USA; Pathogenic to: capsicum, coleus, lupin, marigold, sunflower, tomato, zinnia; Growth Conditions: Kings B or YNA @ 26 C for 3 days","","","","PDDCC: PDDCC 7189","Rhizobium rhizogenes (Riker et al. 1930) Young et al.","B.S. Weir","","Determination","2016-07-01","16S rRNA as R. rhizogenes but seems to be a tumor former rather than hairy root.","Rhizobium rhizogenes (Riker et al. 1930) Young et al.","","","","isolated from","isolated from Persea americana Mill.","TaxonName: Agrobacterium Conn 1942; TaxonName: Agrobacterium tumefaciens (Smith & Townsend 1907) Conn 1942","Persea americana Mill.","","","Determination","","","Persea americana Mill.","avocado cv. Duke 7","basal stem gall","","","","","","D.R.W. Watson","H2767","","1980-06-26",,,"","United States","United States","","","","[Unknown]","D.R.W. Watson","26 Jun 1980","1980-06-26","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","6F184F6E-833A-4D00-9ECC-ADBE29EAE11B","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 7446","Bacterial Culture","","","MPI: Restricted Culture; Grade: a; Price Category: Category 2","Pathogenic to: carnation","","","","PDDCC: PDDCC 7446","Erwinia chrysanthemi pv. dianthicola (Hellmers 1958) Dickey 1979","","","Determination","","","Dickeya dianthicola Samson et al. 2005","","","","isolated from","isolated from Dianthus caryophyllus L.","TaxonName: Erwinia chrysanthemi pv. dianthi","Dianthus caryophyllus L.","","","Determination","","","Dianthus caryophyllus L.","carnation cv. White Sim","root","","","","","","A.S. Alivizatos","Di6","","1976-09-01",,,"","Greece","Greece","","","","Kalloni, Troezina","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","21F8D646-2450-4EA9-B4A2-025A10587F20","Public","",
"International Collection Of Micro-organisms","ICMP 7447","Bacterial Culture","","","MPI: Restricted Culture; Grade: a; Price Category: Category 2","Pathogenic to: carnation","8D1C7B51-31C8-4E90-9F97-ED64920C0F38 (): , ICMP 7447ICMP 7476","","NCPPB 3139","PDDCC: PDDCC 7447","Erwinia chrysanthemi pv. dianthicola (Hellmers 1958) Dickey 1979","","","Determination","","","Dickeya dianthicola Samson et al. 2005","","","","isolated from","isolated from Dianthus caryophyllus L.","TaxonName: Erwinia chrysanthemi pv. dianthicola","Dianthus caryophyllus L.","","","Determination","","","Dianthus caryophyllus L.","carnation cv. White Sim","root","","","","","","A.S. Alivizatos","Di10","","1976-09-01",,,"","Greece","Greece","","","","Kalloni, Troezina","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","385B038C-7C47-48B3-9B32-81B059160292","Public","",
"International Collection Of Micro-organisms","ICMP 7445","Bacterial Culture","","","MPI: Restricted Culture; Grade: a; Price Category: Category 2","Pathogenic to: carnation","8D1C7B51-31C8-4E90-9F97-ED64920C0F38 (): , ICMP 7445ICMP 7475","","NCPPB 3138","PDDCC: PDDCC 7445","Erwinia chrysanthemi pv. dianthicola (Hellmers 1958) Dickey 1979","","","Determination","","","Dickeya dianthicola Samson et al. 2005","","","","isolated from","isolated from Dianthus caryophyllus L.","TaxonName: Erwinia chrysanthemi pv. dianthi","Dianthus caryophyllus L.","","","Determination","","","Dianthus caryophyllus L.","carnation cv. White Sim","root","","","","","","A.S. Alivizatos","Di1","","1976-09-01",,,"","Greece","Greece","","","","Kalloni, Troezina","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","76FC0A5E-09A8-4070-9C22-88E2D1C0A65D","Public","",
"International Collection Of Micro-organisms","ICMP 7442","Bacterial Culture","","","MPI: Restricted Culture; Grade: b; Price Category: Category 2","Characterised as: Nod +ve fix +ve (L. pedunculatus); Growth Conditions: YMA-Ca, R2A @ 26 C for 7-21 days","CD901EE8-A707-4A16-A58E-B290C2F03295 (): , ICMP 7442ICMP 5942","","CC829","PDDCC: PDDCC 7442","Bradyrhizobium Jordan 1982","","","Determination","","","Bradyrhizobium Jordan 1982","","","","isolated from","isolated from Lotus pedunculatus Cav.","TaxonName: Rhizobium lupini","Lotus pedunculatus Cav.","","","Determination","","","Lotus pedunculatus Cav.","lotus","root nodulated with commercial inoculant","","","","","","C.N. Hale","","","1955-01-01",,,"Via, actioned by J. Brockwell on 1955-01-01","United States","USA","","","","[Unknown]","J.R. Callaghan","1955","1955-00-00","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","62908299-67B1-4CC9-A984-D9A12586D88D","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 7474","Bacterial Culture","","","Grade: a; Price Category: Category 1","Strain Data: tumourigenic strains; Pathogenic to: bean, coleus, lupin, marigold, radish, sunflower, tomato, zinnia; Characterised as: Biovar 1; Growth Conditions: Kings B or YNA @ 26 C for 3 days
","","","","PDDCC: PDDCC 7474","Agrobacterium tumefaciens (Smith & Townsend 1907) Conn 1942","","","Determination","","","Rhizobium radiobacter (Beijerinck & van Delden 1902) Young et al. 2001","","","","isolated from","isolated from Chrysanthemum X morifolium Ramat.","TaxonName: Agrobacterium tumefaciens (tumourigenic strains)","Chrysanthemum X morifolium Ramat.","","","Determination","","","Chrysanthemum ×morifolium Ramat.","florist's chrysanthemum cv. Festival","root gall","","","","","","R.G. Clark","A2954","","1981-07-01",,,"","New Zealand","New Zealand","","Auckland","","Alfriston","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","38F47AE3-45B1-4484-8367-E62609405614","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 1192","Fungal Culture","","","Price Category: Category 1; MPI: Restricted Culture; MPI: Unwanted Organism","","","","","PDDCC: PDDCC 1192","Penicillium brevicompactum Dierckx","J. Pitt","","Determination","","","Penicillium brevicompactum Dierckx 1901","","","","isolated from","isolated from Pittosporum sp.","TaxonName: Penicillium brevicompactum","Pittosporum sp.","","","Determination","","","Pittosporum","","stem and root","","","","","","F.J. Morton","H341","","1962-05-01",,,"Via, actioned by A.H. Uljee on 1962-05-01","","","","","","[Unknown]","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","13D29F2C-DAAF-4388-9143-A122AAF75251","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 1117","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 1117","Alternaria alternata (Fr.) Keissl.","","","Determination","","","Alternaria alternata (Fr.) Keissl.","","","","isolated from","isolated from Daucus carota L. var. sativus Hoffm.","TaxonName: Alternaria alternata","Daucus carota L. var. sativus Hoffm.","","","Determination","","","Daucus carota var. sativus (L.) Schübl. & G.Martens","carrot","root","","","","","","F.J. Morton","A54","","1962-04-01",,,"","New Zealand","New Zealand","","Auckland","","Pukekohe","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","2D73DF24-91D9-48BD-ABB0-7D49BB734C53","Public","",
"International Collection Of Micro-organisms","ICMP 12289","Fungal Culture","","","Price Category: Category 1","Other Details: benomyl resistant
","","","","","Monilochaetes infuscans Ellis & Halst. ex Harter","","","Determination","","","Monilochaetes infuscans Ellis & Halst. ex Harter","","","","isolated from","isolated from Ipomoea batatas (L.) Lam.","TaxonName: Monilochaetes infuscans","Ipomoea batatas (L.) Lam.","","","Determination","","","Ipomoea batatas (L.) Lam.","kumara cv. Owairaka Red, sweet potato","scurf on storage roots","","","","","","P.G. Broadhurst","94215II","","1994-11-01",,,"","New Zealand","New Zealand","","Northland","","Ruawai","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","68C1F7B9-8079-4816-9B6D-07BED535D204","Public","",
"International Collection Of Micro-organisms","ICMP 12288","Fungal Culture","","","Price Category: Category 1","Other Details: benomyl resistant
","","","","","Monilochaetes infuscans Ellis & Halst. ex Harter","","","Determination","","","Monilochaetes infuscans Ellis & Halst. ex Harter","","","","isolated from","isolated from Ipomoea batatas (L.) Lam.","TaxonName: Monilochaetes infuscans","Ipomoea batatas (L.) Lam.","","","Determination","","","Ipomoea batatas (L.) Lam.","kumara cv. Owairaka Red, sweet potato","scurf on storage roots","","","","","","P.G. Broadhurst","94215I","","1994-11-01",,,"","New Zealand","New Zealand","","Northland","","Ruawai","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","C1E40467-DBD4-44A8-97CB-3B29F67019B8","Public","",
"International Collection Of Micro-organisms","ICMP 17442","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocarpon liriodendri J.D. MacDon. & E.E. Butler","","","Determination","","","Ilyonectria liriodendri (Halleen, Rego & Crous) P. Chaverri & C. Salgado 2011","","","","isolated from","isolated from Vitis riparia/ rupestris","TaxonName: Cylindrocarpon liriodendri","Vitis riparia/ rupestris","","","Determination","","","Vitis riparia Michx. × V. rupestris L.","grape","root, trunk","","","","","","MAF IDC","","","2005-03-01",,,"Via, actioned by J. Pay on 2005-03-01; Ex, actioned by C. Bleach on 2005-03-01","New Zealand","New Zealand","","Hawkes Bay","","[Unknown]","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","2183E428-4C4E-4839-A312-1A475EFFE3E9","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 17441","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocarpon liriodendri J.D. MacDon. & E.E. Butler","","","Determination","","","Ilyonectria liriodendri (Halleen, Rego & Crous) P. Chaverri & C. Salgado 2011","","","","isolated from","isolated from Vitis berlanderi/riparia","TaxonName: Cylindrocarpon liriodendri","Vitis berlanderi/riparia","","","Determination","","","Vitis berlandieri Planch. × riparia Michx.","grape","root and trunk","","","","","","MAF IDC","","","2005-04-01",,,"Via, actioned by J. Pay on 2005-04-01; Ex, actioned by C. Bleach on 2005-04-01","New Zealand","New Zealand","","Marlborough","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","C0871237-86A6-4DC0-94A7-5C92F8D696AB","Public","",
"International Collection Of Micro-organisms","ICMP 17443","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocarpon macrodidymum Schroers, Halleen & Crous","","","Determination","","C. macrodidymum sensu lato, needs reassessing in the sense of Cabral et al., Fungal Biology 116: 62-80, 2012.","Dactylonectria macrodidyma (Halleen, Schroers & Crous) L. Lombard & Crous 2014","","","","isolated from","isolated from Vitis riparia x rupestris","TaxonName: Cylindrocarpon macrodidymum","Vitis riparia x rupestris","","","Determination","","","Vitis riparia Michx. × V. rupestris L.","grape vine rootstock 101-14","root, trunk","","","","","","MAF IDC","","","2005-05-01",,,"Via, actioned by J. Pay on 2005-05-01; Ex, actioned by C. Bleach on 2005-05-01","New Zealand","New Zealand","","Hawkes Bay","","[Unknown]","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","BF3B7332-E00B-4A86-B109-7164AE8182AA","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 17445","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocarpon macrodidymum Schroers, Halleen & Crous","","","Determination","","C. macrodidymum sensu lato, needs reassessing in the sense of Cabral et al., Fungal Biology 116: 62-80, 2012.","Dactylonectria macrodidyma (Halleen, Schroers & Crous) L. Lombard & Crous 2014","","","","isolated from","isolated from Vitis","TaxonName: Cylindrocarpon macrodidymum","Vitis","","","Determination","","","Vitis L.","grapevine","rootstock","","","","","","MAF IDC","","","2005-02-01",,,"Via, actioned by J. Pay on 2005-02-01; Ex, actioned by C. Bleach on 2005-02-01","New Zealand","New Zealand","","Gisborne","","[Unknown]","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","3DB875DC-C4D7-4897-9F61-929D24B5DCA9","Public","FALSE",
